file,V_truth,V_pred,V_correct,A_truth,A_pred,A_correct
2026-04-27-165239.jpg,00.07,00.07,1,0.000,0.000,1
2026-04-27-165309.jpg,05.96,05.96,1,0.000,0.000,1
2026-04-27-165311.jpg,16.50,16.50,1,0.000,0.000,1
2026-04-27-165313.jpg,25.89,25.89,1,0.001,0.001,1
2026-04-27-165314.jpg,33.65,33.65,1,0.000,0.000,1
2026-04-27-165316.jpg,41.20,41.20,1,0.000,0.000,1
2026-04-27-165318.jpg,48.47,48.47,1,0.000,0.000,1
2026-04-27-165320.jpg,55.91,55.91,1,0.000,0.000,1
2026-04-27-165324.jpg,55.91,55.91,1,0.698,0.698,1
2026-04-27-165326.jpg,55.91,55.91,1,1.349,1.349,1
2026-04-27-165328.jpg,55.91,55.91,1,2.279,2.2?9,0
2026-04-27-165329.jpg,55.91,55.91,1,3.070,3.0?0,0
2026-04-27-165331.jpg,55.91,55.91,1,3.905,3.905,1
2026-04-27-165333.jpg,55.91,55.91,1,4.660,4.660,1
2026-04-27-165339.jpg,53.21,53.21,1,4.665,4.665,1
2026-04-27-165341.jpg,45.98,45.98,1,4.665,4.665,1
2026-04-27-165342.jpg,41.79,41.?9,0,4.665,4.665,1
2026-04-27-165344.jpg,33.28,33.28,1,4.665,4.665,1
2026-04-27-165345.jpg,28.31,28.31,1,4.665,4.665,1
2026-04-27-165347.jpg,22.88,MISSING,0,4.665,MISSING,0
2026-04-27-165348.jpg,18.58,18.58,1,4.665,4.665,1
2026-04-27-165350.jpg,15.67,15.67,1,4.665,4.665,1
2026-04-27-165351.jpg,03.34,03.34,1,4.665,4.665,1
2026-04-27-165352.jpg,00.07,00.07,1,4.665,4.665,1
2026-04-27-165355.jpg,00.07,00.07,1,3.830,3.830,1
2026-04-27-165356.jpg,00.07,00.07,1,3.586,3.586,1
2026-04-27-165358.jpg,00.07,00.07,1,2.916,2.916,1
2026-04-27-165359.jpg,00.07,00.07,1,2.483,2.483,1
2026-04-27-165401.jpg,00.07,00.07,1,1.536,1.536,1
2026-04-27-165403.jpg,00.07,00.07,1,0.466,0.466,1
2026-04-27-165404.jpg,00.07,00.07,1,0.000,0.000,1
